"category","key","screen_or_flow","situation","constraints","draft_text"
"explainer","SCR-01.explainer.first_run.title","SCR-01","First deliberate visit to Sign In, shown once above the mode choice","Short panel/sheet; single 'Got it' dismissal; never shown on gated shape or again after dismissal","Two ways to sign in"
"explainer","SCR-01.explainer.first_run.body","SCR-01","Same as above","Already drafted in rules.md/SCR-01; carried through unchanged","Read-write lets you do everything: post your daily photo, star, favourite, comment and follow. Most people want this.

Read-only signs you in to browse and read, and nothing else. Nothing you do can change your account. Useful if you mostly look rather than post, or you'd rather this app couldn't post as you.

You can change this later for any account, and you can add more than one account."
"explainer","SCR-01.explainer.first_run.button","SCR-01","Dismiss the first-run explainer","One word, low-commitment","Got it"
"tooltip","SCR-01.tooltip.read_write","SCR-01","[i] next to the Read-write mode option","One sentence, plain language","This app can post entries, comment, star, favourite and follow on your behalf, and change your settings."
"tooltip","SCR-01.tooltip.read_only","SCR-01","[i] next to the Read-only mode option","One sentence, plain language; reassures nothing changes","This app can see everything you can see, but can't change anything - no posting, reacting, commenting or following. You can switch to read-write later without losing the account."
"label","SCR-01.mode.read_write.title","SCR-01","Mode choice radio label","Short label","Read-write"
"label","SCR-01.mode.read_write.subtitle","SCR-01","One-line summary under the Read-write radio","Fits one line","Post, react, comment, follow"
"label","SCR-01.mode.read_only.title","SCR-01","Mode choice radio label","Short label","Read-only"
"label","SCR-01.mode.read_only.subtitle","SCR-01","One-line summary under the Read-only radio","Fits one line","Browse and read only - no posting or reacting"
"label","SCR-01.notifications_toggle","SCR-01","Notifications toggle on the deliberate sign-in shape","Short label","Get notifications"
"reason","SCR-01.reason.publish","SCR-01 / FLW-01","Gated-action reason line - user tapped New Entry / Share-to-Blipfoto while anonymous","Names the specific action; fits one line above the Sign in button","Sign in to post your photo"
"reason","SCR-01.reason.star","SCR-01 / FLW-01","Gated-action reason line - Star tapped while anonymous","Names the specific action","Sign in to star this entry"
"reason","SCR-01.reason.favourite","SCR-01 / FLW-01","Gated-action reason line - Favourite tapped while anonymous","Names the specific action","Sign in to favourite this entry"
"reason","SCR-01.reason.comment","SCR-01 / FLW-01","Gated-action reason line - Comment/Reply tapped while anonymous","Names the specific action","Sign in to comment"
"reason","SCR-01.reason.follow","SCR-01 / FLW-01","Gated-action reason line - Follow tapped while anonymous","Names the entity being followed","Sign in to follow {username}"
"reason","SCR-01.reason.report","SCR-01 / FLW-01","Gated-action reason line - Report tapped while anonymous","Names the specific action","Sign in to report this"
"reason","SCR-01.reason.generic","SCR-01 / FLW-01","Gated-action reason line - fallback for any action not covered above","Used only if a new gated action is added without its own reason line","Sign in to continue"
"label","SCR-01.button.continue","SCR-01","Primary button, deliberate shape (mode already chosen)","One word","Continue"
"label","SCR-01.button.sign_in","SCR-01","Primary button, gated shape","One word","Sign in"
"label","SCR-01.link.create_account","SCR-01","Registration link, both shapes","Opens browser, not in-app","New to Blipfoto? Create account"
"label","SCR-01.link.browse_anon","SCR-01","Shown only when sign-in was offered, not a true gated action","Must not appear mid-gated-action","Just looking? Browse without signing in"
"state","SCR-01.interstitial.second_auth","SCR-01","Read-write + notifications: shown between the two OAuth rounds","Must make explicit that a second, separate step is coming","One more step - authorize read-only access for notifications"
"error","SCR-01.error.failed","SCR-01","OAuth failed, was declined with a non-access_denied error, or the returned token failed verification","Stays on screen; retry available; does not apply to access_denied (that's Cancelled, silent)","Sign-in failed. Please try again."
"error","SCR-01.error.second_auth_failed","SCR-01","The second (notifications) OAuth round fails or is cancelled after the first succeeded","Must reassure the first token is kept - this is not a full sign-in failure","You're signed in, but notifications couldn't be turned on. You can try again anytime from Settings."
"error","SCR-01.error.redirect_mismatch","SCR-01","OAuth-layer code 35 (invalid_redirect_uri) - a build/registration configuration problem, not user-actionable","Dev/QA-facing; must read as unmistakably a setup problem, not folded into the generic sign-in-failed message","Sign-in is misconfigured (redirect URI mismatch). This is a setup problem, not something to retry."
"prompt","UPGRADE.title","rules.md (cross-screen)","A read-only account reaches a write action via deep link, share intent, or stale UI","Short; must not read as a dead end or bare error","This account is read-only"
"prompt","UPGRADE.body","rules.md (cross-screen)","Same as above","Explains the fix in one sentence; offers to authorize in place","{username} is signed in read-only, so it can't do that. Switch to read-write to continue - you'll be asked to sign in again for write access."
"prompt","UPGRADE.button.confirm","rules.md (cross-screen)","Primary action on the upgrade prompt","Leads straight into FLW-22's re-authorization for the missing token","Switch to read-write"
"prompt","UPGRADE.button.decline","rules.md (cross-screen)","Secondary action; returns the user to where they came from","Must not appear to have done anything destructive","Not now"
"error","UPGRADE.error.scope_16","api-appendix/error-codes.md (16)","Defensive fallback: the server itself rejects a write for insufficient scope - should only happen if the gate was bypassed (a bug, not a normal path)","Plain, visible; never silently swallowed","This account doesn't have permission to do that. It's signed in read-only."
"empty","SCR-02.empty.recent","SCR-02","Recent tab returns no entries","Rare; keep neutral","No entries to show right now."
"empty","SCR-02.empty.following","SCR-02","Following tab: user follows nobody, or nobody they follow has posted","Should prompt discovery, not just state absence","Nothing here yet. Follow some journals to see their entries in this tab."
"empty","SCR-02.empty.just_me","SCR-02","Just Me tab: user hasn't posted any entries","Should prompt the core action (posting)","You haven't posted anything yet. Your first entry will show up here."
"empty","SCR-02.empty.popular","SCR-02","Popular tab returns no entries","Rare; keep neutral","No entries to show right now."
"empty","SCR-02.empty.nearby","SCR-02","Nearby tab returns no entries for the current location","Distinct from the permission-needed state below","No entries nearby right now."
"prompt","SCR-02.nearby.permission_needed","SCR-02","Nearby tab opened without location permission granted","Explains the ask before the OS prompt fires","See entries near you - allow location access?"
"prompt","SCR-02.nearby.permission_denied","SCR-02","Location permission was refused for the Nearby tab","Route to system settings rather than re-asking into silence","Nearby needs location access. Turn it on in Settings to see entries near you."
"empty","SCR-03.idle","SCR-03","Search opened with no query entered yet","Neutral prompt, not an empty result","Search entries and people"
"empty","SCR-03.empty.no_results","SCR-03","Query returned no matches, either tab","Must name the term the user searched for","No results for "{term}""
"empty","SCR-04.empty.region","SCR-04","No geotagged entries in the current map viewport","Not an error - silent is fine, but include a message in case a design wants one","No entries in this area."
"error","SCR-04.error.unavailable","SCR-04","The map service or location is unavailable","Must not show a blank screen","Map isn't available right now."
"empty","SCR-05.empty","SCR-05","No entries carry the given tag","Must name the tag","No entries tagged "#{tag}""
"empty","SCR-06.empty.comments","SCR-06","An entry has no comments yet","Sits above the (empty) comment thread; low-key","No comments yet. Be the first."
"empty","SCR-07.error.load","SCR-07","Full-screen photo fails to load","Retry available, not a dead placeholder","This photo couldn't be loaded."
"empty","SCR-08.empty","SCR-08","All metadata fields are blank (not reachable in practice, since the entry point only appears when metadata exists)","Already drafted in the spec","No camera information"
"empty","SCR-14.empty","SCR-14","Nothing queued or recently uploaded","Simple, low-key","No uploads yet. Entries you publish will show up here while they're on their way."
"empty","SCR-17.empty.entries","SCR-17","Own Entries tab has no entries","Prompt to post, since this is the user's own journal","You haven't posted anything yet. Share your first entry from New Entry."
"empty","SCR-17.empty.favourites","SCR-17","Own Favourites tab has no favourited entries","Neutral","You haven't favourited anything yet."
"empty","SCR-17.empty.followers","SCR-17 / SCR-19","Own Followers list is empty","Shared with SCR-19","No followers yet."
"empty","SCR-17.empty.following","SCR-17 / SCR-19","Own Following list is empty","Shared with SCR-19","You're not following anyone yet."
"empty","SCR-17.empty.awards","SCR-17 / SCR-22","Own Awards tab has no earned badges","Shared with SCR-22","No awards yet."
"error","SCR-18.error.not_found","SCR-18","Profile lookup fails with error 103 (user unavailable) or 101 (malformed username) - spec requires both to read identically here rather than 101 falling through to a generic error","Same message for both codes on this screen","This profile couldn't be found."
"empty","SCR-19.empty.followers","SCR-19","A followers list is empty (someone else's, viewed via their profile)","Distinct copy from 'own' framing isn't required - same line works for any viewer","No followers yet."
"empty","SCR-19.empty.following","SCR-19","A following list is empty","Same as above","Not following anyone yet."
"empty","SCR-20.empty","SCR-20","No pending follow requests","Already drafted in the spec","No pending requests"
"empty","SCR-21.empty","SCR-21","No members have been refused","Already close to spec wording","You haven't refused anyone."
"empty","SCR-22.empty","SCR-22","No awards earned yet","Already drafted in the spec","No awards yet"
"empty","SCR-23.empty","SCR-23","No notifications","Already drafted in the spec","No notifications yet"
"empty","SCR-24.empty","SCR-24","No comments received","Already drafted in the spec","No comments yet"
"empty","SCR-31.empty","SCR-31","No members hidden","No loading/error state exists for this screen per spec - it's local-only","You haven't hidden anyone."
"error","GENERIC.error.list_load","cross-screen (rules.md)","Fallback error copy for any paged list/grid that fails to load (Browse tabs, Search, Tag Entries, Followers/Following, Pending Requests, Refused Followers, Awards, Notifications, Comments)","Reused verbatim across screens rather than one bespoke string per screen; always paired with a Retry action","Couldn't load this. Check your connection and try again."
"error","GENERIC.error.retry_button","cross-screen (rules.md)","Retry affordance paired with any error state","One word","Retry"
"error","SCR-03.error","SCR-03","Search request failed","Uses the generic list-load message","Couldn't load results. Check your connection and try again."
